hypervectorSize, inputQuant, classVectorQuant, imageSize, retrainIteration, nCorrect
4000, 2, 2, 28, 1, 7990
4000, 2, 2, 28, 2, 8420
4000, 2, 2, 28, 3, 8499
4000, 2, 2, 28, 4, 8558
4000, 2, 2, 28, 5, 8549
4000, 2, 2, 28, 6, 8461
4000, 2, 2, 28, 7, 8294
4000, 4, 2, 28, 1, 8151
4000, 4, 2, 28, 2, 8505
4000, 4, 2, 28, 3, 8646
4000, 4, 2, 28, 4, 8760
4000, 4, 2, 28, 5, 8784
4000, 4, 2, 28, 6, 8725
4000, 4, 2, 28, 7, 8550
4000, 8, 2, 28, 1, 8174
4000, 8, 2, 28, 2, 8575
4000, 8, 2, 28, 3, 8722
4000, 8, 2, 28, 4, 8830
4000, 8, 2, 28, 5, 8896
4000, 8, 2, 28, 6, 8928
4000, 8, 2, 28, 7, 8980
4000, 8, 2, 28, 8, 8967
4000, 8, 2, 28, 9, 9034
4000, 8, 2, 28, 10, 8975
4000, 16, 2, 28, 1, 8230
4000, 16, 2, 28, 2, 8577
4000, 16, 2, 28, 3, 8749
4000, 16, 2, 28, 4, 8832
4000, 16, 2, 28, 5, 8894
4000, 16, 2, 28, 6, 8944
4000, 16, 2, 28, 7, 8967
4000, 16, 2, 28, 8, 9012
4000, 16, 2, 28, 9, 9030
4000, 16, 2, 28, 10, 9060
4000, 32, 2, 28, 1, 8219
4000, 32, 2, 28, 2, 8600
4000, 32, 2, 28, 3, 8731
4000, 32, 2, 28, 4, 8825
4000, 32, 2, 28, 5, 8893
4000, 32, 2, 28, 6, 8939
4000, 32, 2, 28, 7, 8989
4000, 32, 2, 28, 8, 9034
4000, 32, 2, 28, 9, 9052
4000, 32, 2, 28, 10, 9073
4000, 64, 2, 28, 1, 8207
4000, 64, 2, 28, 2, 8624
4000, 64, 2, 28, 3, 8763
4000, 64, 2, 28, 4, 8859
4000, 64, 2, 28, 5, 8917
4000, 64, 2, 28, 6, 8970
4000, 64, 2, 28, 7, 9027
4000, 64, 2, 28, 8, 9032
4000, 64, 2, 28, 9, 9080
4000, 64, 2, 28, 10, 9061
4000, 2, 4, 28, 1, 7996
4000, 2, 4, 28, 2, 8382
4000, 2, 4, 28, 3, 8469
4000, 2, 4, 28, 4, 8547
4000, 2, 4, 28, 5, 8273
4000, 4, 4, 28, 1, 8145
4000, 4, 4, 28, 2, 8564
4000, 4, 4, 28, 3, 8688
4000, 4, 4, 28, 4, 8780
4000, 4, 4, 28, 5, 8811
4000, 4, 4, 28, 6, 8819
4000, 4, 4, 28, 7, 8745
4000, 4, 4, 28, 8, 8440
4000, 8, 4, 28, 1, 8243
4000, 8, 4, 28, 2, 8634
4000, 8, 4, 28, 3, 8766
4000, 8, 4, 28, 4, 8867
4000, 8, 4, 28, 5, 8920
4000, 8, 4, 28, 6, 8996
4000, 8, 4, 28, 7, 9025
4000, 8, 4, 28, 8, 9025
4000, 8, 4, 28, 9, 9082
4000, 8, 4, 28, 10, 9035
4000, 16, 4, 28, 1, 8250
4000, 16, 4, 28, 2, 8609
4000, 16, 4, 28, 3, 8784
4000, 16, 4, 28, 4, 8896
4000, 16, 4, 28, 5, 8959
4000, 16, 4, 28, 6, 9009
4000, 16, 4, 28, 7, 9038
4000, 16, 4, 28, 8, 9086
4000, 16, 4, 28, 9, 9115
4000, 16, 4, 28, 10, 9152
4000, 32, 4, 28, 1, 8229
4000, 32, 4, 28, 2, 8634
4000, 32, 4, 28, 3, 8781
4000, 32, 4, 28, 4, 8870
4000, 32, 4, 28, 5, 8945
4000, 32, 4, 28, 6, 8983
4000, 32, 4, 28, 7, 9043
4000, 32, 4, 28, 8, 9051
4000, 32, 4, 28, 9, 9110
4000, 32, 4, 28, 10, 9090
4000, 64, 4, 28, 1, 8255
4000, 64, 4, 28, 2, 8657
4000, 64, 4, 28, 3, 8797
4000, 64, 4, 28, 4, 8897
4000, 64, 4, 28, 5, 8971
4000, 64, 4, 28, 6, 9032
4000, 64, 4, 28, 7, 9052
4000, 64, 4, 28, 8, 9101
4000, 64, 4, 28, 9, 9108
4000, 64, 4, 28, 10, 9160
4000, 2, 8, 28, 1, 8039
4000, 2, 8, 28, 2, 8412
4000, 2, 8, 28, 3, 8508
4000, 2, 8, 28, 4, 8506
4000, 2, 8, 28, 5, 8523
4000, 2, 8, 28, 6, 8259
4000, 4, 8, 28, 1, 8207
4000, 4, 8, 28, 2, 8605
4000, 4, 8, 28, 3, 8762
4000, 4, 8, 28, 4, 8792
4000, 4, 8, 28, 5, 8821
4000, 4, 8, 28, 6, 8773
4000, 4, 8, 28, 7, 8590
4000, 8, 8, 28, 1, 8249
4000, 8, 8, 28, 2, 8602
4000, 8, 8, 28, 3, 8773
4000, 8, 8, 28, 4, 8873
4000, 8, 8, 28, 5, 8912
4000, 8, 8, 28, 6, 8996
4000, 8, 8, 28, 7, 9010
4000, 8, 8, 28, 8, 9021
4000, 8, 8, 28, 9, 9018
4000, 8, 8, 28, 10, 8782
4000, 16, 8, 28, 1, 8225
4000, 16, 8, 28, 2, 8640
4000, 16, 8, 28, 3, 8782
4000, 16, 8, 28, 4, 8887
4000, 16, 8, 28, 5, 8943
4000, 16, 8, 28, 6, 8998
4000, 16, 8, 28, 7, 9029
4000, 16, 8, 28, 8, 9084
4000, 16, 8, 28, 9, 9105
4000, 16, 8, 28, 10, 9082
4000, 32, 8, 28, 1, 8265
4000, 32, 8, 28, 2, 8650
4000, 32, 8, 28, 3, 8785
4000, 32, 8, 28, 4, 8867
4000, 32, 8, 28, 5, 8939
4000, 32, 8, 28, 6, 8981
4000, 32, 8, 28, 7, 9012
4000, 32, 8, 28, 8, 9074
4000, 32, 8, 28, 9, 9059
4000, 32, 8, 28, 10, 9077
4000, 64, 8, 28, 1, 8252
4000, 64, 8, 28, 2, 8662
4000, 64, 8, 28, 3, 8799
4000, 64, 8, 28, 4, 8890
4000, 64, 8, 28, 5, 8966
4000, 64, 8, 28, 6, 9020
4000, 64, 8, 28, 7, 9073
4000, 64, 8, 28, 8, 9103
4000, 64, 8, 28, 9, 9134
4000, 64, 8, 28, 10, 9157
6000, 2, 2, 28, 1, 7991
6000, 2, 2, 28, 2, 8396
6000, 2, 2, 28, 3, 8502
6000, 2, 2, 28, 4, 8537
6000, 2, 2, 28, 5, 8443
6000, 2, 2, 28, 6, 8150
6000, 4, 2, 28, 1, 8195
6000, 4, 2, 28, 2, 8580
6000, 4, 2, 28, 3, 8700
6000, 4, 2, 28, 4, 8799
6000, 4, 2, 28, 5, 8839
6000, 4, 2, 28, 6, 8872
6000, 4, 2, 28, 7, 8837
6000, 4, 2, 28, 8, 8640
6000, 8, 2, 28, 1, 8206
6000, 8, 2, 28, 2, 8594
6000, 8, 2, 28, 3, 8735
6000, 8, 2, 28, 4, 8814
6000, 8, 2, 28, 5, 8888
6000, 8, 2, 28, 6, 8950
6000, 8, 2, 28, 7, 8984
6000, 8, 2, 28, 8, 8937
6000, 8, 2, 28, 9, 8731
6000, 16, 2, 28, 1, 8235
6000, 16, 2, 28, 2, 8612
6000, 16, 2, 28, 3, 8764
6000, 16, 2, 28, 4, 8872
6000, 16, 2, 28, 5, 8915
6000, 16, 2, 28, 6, 8948
6000, 16, 2, 28, 7, 8994
6000, 16, 2, 28, 8, 8992
6000, 16, 2, 28, 9, 9047
6000, 16, 2, 28, 10, 9004
6000, 32, 2, 28, 1, 8228
6000, 32, 2, 28, 2, 8643
6000, 32, 2, 28, 3, 8804
6000, 32, 2, 28, 4, 8877
6000, 32, 2, 28, 5, 8931
6000, 32, 2, 28, 6, 8969
6000, 32, 2, 28, 7, 9006
6000, 32, 2, 28, 8, 9049
6000, 32, 2, 28, 9, 9073
6000, 32, 2, 28, 10, 9101
6000, 64, 2, 28, 1, 8250
6000, 64, 2, 28, 2, 8627
6000, 64, 2, 28, 3, 8786
6000, 64, 2, 28, 4, 8861
6000, 64, 2, 28, 5, 8920
6000, 64, 2, 28, 6, 8987
6000, 64, 2, 28, 7, 9046
6000, 64, 2, 28, 8, 9061
6000, 64, 2, 28, 9, 9120
6000, 64, 2, 28, 10, 9120
6000, 2, 4, 28, 1, 8023
6000, 2, 4, 28, 2, 8404
6000, 2, 4, 28, 3, 8489
6000, 2, 4, 28, 4, 8443
6000, 2, 4, 28, 5, 8268
6000, 4, 4, 28, 1, 8179
6000, 4, 4, 28, 2, 8586
6000, 4, 4, 28, 3, 8749
6000, 4, 4, 28, 4, 8830
6000, 4, 4, 28, 5, 8907
6000, 4, 4, 28, 6, 8959
6000, 4, 4, 28, 7, 8960
6000, 4, 4, 28, 8, 8864
6000, 4, 4, 28, 9, 8558
6000, 8, 4, 28, 1, 8283
6000, 8, 4, 28, 2, 8675
6000, 8, 4, 28, 3, 8784
6000, 8, 4, 28, 4, 8887
6000, 8, 4, 28, 5, 8918
6000, 8, 4, 28, 6, 9003
6000, 8, 4, 28, 7, 9019
6000, 8, 4, 28, 8, 9027
6000, 8, 4, 28, 9, 9081
6000, 8, 4, 28, 10, 9069
6000, 16, 4, 28, 1, 8277
6000, 16, 4, 28, 2, 8673
6000, 16, 4, 28, 3, 8802
6000, 16, 4, 28, 4, 8903
6000, 16, 4, 28, 5, 8968
6000, 16, 4, 28, 6, 9010
6000, 16, 4, 28, 7, 9035
6000, 16, 4, 28, 8, 9101
6000, 16, 4, 28, 9, 9089
6000, 16, 4, 28, 10, 9157
6000, 32, 4, 28, 1, 8268
6000, 32, 4, 28, 2, 8644
6000, 32, 4, 28, 3, 8784
6000, 32, 4, 28, 4, 8875
6000, 32, 4, 28, 5, 8966
6000, 32, 4, 28, 6, 8996
6000, 32, 4, 28, 7, 9059
6000, 32, 4, 28, 8, 9074
6000, 32, 4, 28, 9, 9126
6000, 32, 4, 28, 10, 9133
6000, 64, 4, 28, 1, 8290
6000, 64, 4, 28, 2, 8695
6000, 64, 4, 28, 3, 8808
6000, 64, 4, 28, 4, 8922
6000, 64, 4, 28, 5, 8965
6000, 64, 4, 28, 6, 9015
6000, 64, 4, 28, 7, 9049
6000, 64, 4, 28, 8, 9082
6000, 64, 4, 28, 9, 9114
6000, 64, 4, 28, 10, 9140
6000, 2, 8, 28, 1, 8154
6000, 2, 8, 28, 2, 8511
6000, 2, 8, 28, 3, 8626
6000, 2, 8, 28, 4, 8719
6000, 2, 8, 28, 5, 8716
6000, 2, 8, 28, 6, 8552
6000, 4, 8, 28, 1, 8226
6000, 4, 8, 28, 2, 8614
6000, 4, 8, 28, 3, 8743
6000, 4, 8, 28, 4, 8838
6000, 4, 8, 28, 5, 8881
6000, 4, 8, 28, 6, 8883
6000, 4, 8, 28, 7, 8875
6000, 4, 8, 28, 8, 8786
6000, 4, 8, 28, 9, 8650
6000, 8, 8, 28, 1, 8215
6000, 8, 8, 28, 2, 8632
6000, 8, 8, 28, 3, 8771
6000, 8, 8, 28, 4, 8855
6000, 8, 8, 28, 5, 8946
6000, 8, 8, 28, 6, 9006
6000, 8, 8, 28, 7, 9034
6000, 8, 8, 28, 8, 9082
6000, 8, 8, 28, 9, 9128
6000, 8, 8, 28, 10, 9080
6000, 16, 8, 28, 1, 8262
6000, 16, 8, 28, 2, 8666
6000, 16, 8, 28, 3, 8793
6000, 16, 8, 28, 4, 8921
6000, 16, 8, 28, 5, 8962
6000, 16, 8, 28, 6, 9004
6000, 16, 8, 28, 7, 9066
6000, 16, 8, 28, 8, 9093
6000, 16, 8, 28, 9, 9110
6000, 16, 8, 28, 10, 9138
6000, 32, 8, 28, 1, 8267
6000, 32, 8, 28, 2, 8664
6000, 32, 8, 28, 3, 8790
6000, 32, 8, 28, 4, 8924
6000, 32, 8, 28, 5, 8991
6000, 32, 8, 28, 6, 9034
6000, 32, 8, 28, 7, 9076
6000, 32, 8, 28, 8, 9103
6000, 32, 8, 28, 9, 9126
6000, 32, 8, 28, 10, 9158
6000, 64, 8, 28, 1, 8273
6000, 64, 8, 28, 2, 8704
6000, 64, 8, 28, 3, 8841
6000, 64, 8, 28, 4, 8926
6000, 64, 8, 28, 5, 8987
6000, 64, 8, 28, 6, 9032
6000, 64, 8, 28, 7, 9068
6000, 64, 8, 28, 8, 9097
6000, 64, 8, 28, 9, 9150
6000, 64, 8, 28, 10, 9164
8000, 2, 2, 28, 1, 8042
8000, 2, 2, 28, 2, 8448
8000, 2, 2, 28, 3, 8553
8000, 2, 2, 28, 4, 8635
8000, 2, 2, 28, 5, 8603
8000, 2, 2, 28, 6, 8561
8000, 2, 2, 28, 7, 8286
8000, 4, 2, 28, 1, 8229
8000, 4, 2, 28, 2, 8533
8000, 4, 2, 28, 3, 8692
8000, 4, 2, 28, 4, 8792
8000, 4, 2, 28, 5, 8869
8000, 4, 2, 28, 6, 8932
8000, 4, 2, 28, 7, 8963
8000, 4, 2, 28, 8, 9000
8000, 4, 2, 28, 9, 8945
8000, 4, 2, 28, 10, 8901
8000, 8, 2, 28, 1, 8172
8000, 8, 2, 28, 2, 8626
8000, 8, 2, 28, 3, 8787
8000, 8, 2, 28, 4, 8846
8000, 8, 2, 28, 5, 8930
8000, 8, 2, 28, 6, 8949
8000, 8, 2, 28, 7, 9019
8000, 8, 2, 28, 8, 8995
8000, 8, 2, 28, 9, 8954
8000, 8, 2, 28, 10, 8716
8000, 16, 2, 28, 1, 8226
8000, 16, 2, 28, 2, 8611
8000, 16, 2, 28, 3, 8744
8000, 16, 2, 28, 4, 8856
8000, 16, 2, 28, 5, 8922
8000, 16, 2, 28, 6, 9001
8000, 16, 2, 28, 7, 9037
8000, 16, 2, 28, 8, 9057
8000, 16, 2, 28, 9, 9083
8000, 16, 2, 28, 10, 9126
8000, 32, 2, 28, 1, 8242
8000, 32, 2, 28, 2, 8642
8000, 32, 2, 28, 3, 8782
8000, 32, 2, 28, 4, 8863
8000, 32, 2, 28, 5, 8939
8000, 32, 2, 28, 6, 8972
8000, 32, 2, 28, 7, 9015
8000, 32, 2, 28, 8, 9043
8000, 32, 2, 28, 9, 9115
8000, 32, 2, 28, 10, 9127
8000, 64, 2, 28, 1, 8274
8000, 64, 2, 28, 2, 8621
8000, 64, 2, 28, 3, 8781
8000, 64, 2, 28, 4, 8848
8000, 64, 2, 28, 5, 8946
8000, 64, 2, 28, 6, 8971
8000, 64, 2, 28, 7, 9038
8000, 64, 2, 28, 8, 9062
8000, 64, 2, 28, 9, 9095
8000, 64, 2, 28, 10, 9100
8000, 2, 4, 28, 1, 8074
8000, 2, 4, 28, 2, 8502
8000, 2, 4, 28, 3, 8651
8000, 2, 4, 28, 4, 8718
8000, 2, 4, 28, 5, 8730
8000, 2, 4, 28, 6, 8744
8000, 2, 4, 28, 7, 8508
8000, 4, 4, 28, 1, 8235
8000, 4, 4, 28, 2, 8619
8000, 4, 4, 28, 3, 8758
8000, 4, 4, 28, 4, 8856
8000, 4, 4, 28, 5, 8883
8000, 4, 4, 28, 6, 8941
8000, 4, 4, 28, 7, 8969
8000, 4, 4, 28, 8, 8998
8000, 4, 4, 28, 9, 8985
8000, 4, 4, 28, 10, 8804
8000, 8, 4, 28, 1, 8282
8000, 8, 4, 28, 2, 8665
8000, 8, 4, 28, 3, 8786
8000, 8, 4, 28, 4, 8876
8000, 8, 4, 28, 5, 8965
8000, 8, 4, 28, 6, 9012
8000, 8, 4, 28, 7, 9042
8000, 8, 4, 28, 8, 9091
8000, 8, 4, 28, 9, 9103
8000, 8, 4, 28, 10, 9137
8000, 16, 4, 28, 1, 8284
8000, 16, 4, 28, 2, 8652
8000, 16, 4, 28, 3, 8808
8000, 16, 4, 28, 4, 8895
8000, 16, 4, 28, 5, 8962
8000, 16, 4, 28, 6, 9014
8000, 16, 4, 28, 7, 9043
8000, 16, 4, 28, 8, 9079
8000, 16, 4, 28, 9, 9102
8000, 16, 4, 28, 10, 9136
8000, 32, 4, 28, 1, 8297
8000, 32, 4, 28, 2, 8671
8000, 32, 4, 28, 3, 8798
8000, 32, 4, 28, 4, 8885
8000, 32, 4, 28, 5, 8970
8000, 32, 4, 28, 6, 9017
8000, 32, 4, 28, 7, 9051
8000, 32, 4, 28, 8, 9082
8000, 32, 4, 28, 9, 9123
8000, 32, 4, 28, 10, 9134
8000, 64, 4, 28, 1, 8251
8000, 64, 4, 28, 2, 8648
8000, 64, 4, 28, 3, 8805
8000, 64, 4, 28, 4, 8914
8000, 64, 4, 28, 5, 8972
8000, 64, 4, 28, 6, 9028
8000, 64, 4, 28, 7, 9049
8000, 64, 4, 28, 8, 9100
8000, 64, 4, 28, 9, 9125
8000, 64, 4, 28, 10, 9166
8000, 2, 8, 28, 1, 8104
8000, 2, 8, 28, 2, 8453
8000, 2, 8, 28, 3, 8576
8000, 2, 8, 28, 4, 8659
8000, 2, 8, 28, 5, 8676
8000, 2, 8, 28, 6, 8592
8000, 2, 8, 28, 7, 8377
8000, 4, 8, 28, 1, 8231
8000, 4, 8, 28, 2, 8643
8000, 4, 8, 28, 3, 8770
8000, 4, 8, 28, 4, 8862
8000, 4, 8, 28, 5, 8936
8000, 4, 8, 28, 6, 8932
8000, 4, 8, 28, 7, 8898
8000, 4, 8, 28, 8, 8770
8000, 8, 8, 28, 1, 8272
8000, 8, 8, 28, 2, 8636
8000, 8, 8, 28, 3, 8794
8000, 8, 8, 28, 4, 8910
8000, 8, 8, 28, 5, 8954
8000, 8, 8, 28, 6, 9021
8000, 8, 8, 28, 7, 9064
8000, 8, 8, 28, 8, 9089
8000, 8, 8, 28, 9, 9081
8000, 8, 8, 28, 10, 9066
8000, 16, 8, 28, 1, 8306
8000, 16, 8, 28, 2, 8666
8000, 16, 8, 28, 3, 8810
8000, 16, 8, 28, 4, 8930
8000, 16, 8, 28, 5, 8981
8000, 16, 8, 28, 6, 9022
8000, 16, 8, 28, 7, 9066
8000, 16, 8, 28, 8, 9102
8000, 16, 8, 28, 9, 9133
8000, 16, 8, 28, 10, 9186
8000, 32, 8, 28, 1, 8271
8000, 32, 8, 28, 2, 8687
8000, 32, 8, 28, 3, 8841
8000, 32, 8, 28, 4, 8930
8000, 32, 8, 28, 5, 8992
8000, 32, 8, 28, 6, 9039
8000, 32, 8, 28, 7, 9086
8000, 32, 8, 28, 8, 9130
8000, 32, 8, 28, 9, 9161
8000, 32, 8, 28, 10, 9186
8000, 64, 8, 28, 1, 8293
8000, 64, 8, 28, 2, 8684
8000, 64, 8, 28, 3, 8814
8000, 64, 8, 28, 4, 8913
8000, 64, 8, 28, 5, 8973
8000, 64, 8, 28, 6, 9018
8000, 64, 8, 28, 7, 9065
8000, 64, 8, 28, 8, 9101
8000, 64, 8, 28, 9, 9128
8000, 64, 8, 28, 10, 9149
10000, 2, 2, 28, 1, 8064
10000, 2, 2, 28, 2, 8477
10000, 2, 2, 28, 3, 8598
10000, 2, 2, 28, 4, 8650
10000, 2, 2, 28, 5, 8693
10000, 2, 2, 28, 6, 8598
10000, 2, 2, 28, 7, 8349
10000, 4, 2, 28, 1, 8264
10000, 4, 2, 28, 2, 8620
10000, 4, 2, 28, 3, 8706
10000, 4, 2, 28, 4, 8828
10000, 4, 2, 28, 5, 8843
10000, 4, 2, 28, 6, 8930
10000, 4, 2, 28, 7, 8878
10000, 4, 2, 28, 8, 8777
10000, 8, 2, 28, 1, 8226
10000, 8, 2, 28, 2, 8617
10000, 8, 2, 28, 3, 8742
10000, 8, 2, 28, 4, 8842
10000, 8, 2, 28, 5, 8905
10000, 8, 2, 28, 6, 8956
10000, 8, 2, 28, 7, 8976
10000, 8, 2, 28, 8, 9020
10000, 8, 2, 28, 9, 9044
10000, 8, 2, 28, 10, 9072
10000, 16, 2, 28, 1, 8280
10000, 16, 2, 28, 2, 8625
10000, 16, 2, 28, 3, 8786
10000, 16, 2, 28, 4, 8880
10000, 16, 2, 28, 5, 8947
10000, 16, 2, 28, 6, 8987
10000, 16, 2, 28, 7, 9035
10000, 16, 2, 28, 8, 9050
10000, 16, 2, 28, 9, 9083
10000, 16, 2, 28, 10, 9096
10000, 32, 2, 28, 1, 8228
10000, 32, 2, 28, 2, 8638
10000, 32, 2, 28, 3, 8766
10000, 32, 2, 28, 4, 8869
10000, 32, 2, 28, 5, 8926
10000, 32, 2, 28, 6, 8979
10000, 32, 2, 28, 7, 9010
10000, 32, 2, 28, 8, 9042
10000, 32, 2, 28, 9, 9089
10000, 32, 2, 28, 10, 9111
10000, 64, 2, 28, 1, 8247
10000, 64, 2, 28, 2, 8645
10000, 64, 2, 28, 3, 8777
10000, 64, 2, 28, 4, 8889
10000, 64, 2, 28, 5, 8936
10000, 64, 2, 28, 6, 9004
10000, 64, 2, 28, 7, 9030
10000, 64, 2, 28, 8, 9070
10000, 64, 2, 28, 9, 9104
10000, 64, 2, 28, 10, 9139
10000, 2, 4, 28, 1, 8101
10000, 2, 4, 28, 2, 8496
10000, 2, 4, 28, 3, 8600
10000, 2, 4, 28, 4, 8694
10000, 2, 4, 28, 5, 8728
10000, 2, 4, 28, 6, 8595
10000, 2, 4, 28, 7, 8437
10000, 4, 4, 28, 1, 8278
10000, 4, 4, 28, 2, 8631
10000, 4, 4, 28, 3, 8742
10000, 4, 4, 28, 4, 8857
10000, 4, 4, 28, 5, 8930
10000, 4, 4, 28, 6, 8981
10000, 4, 4, 28, 7, 9012
10000, 4, 4, 28, 8, 9016
10000, 4, 4, 28, 9, 9052
10000, 4, 4, 28, 10, 9032
10000, 8, 4, 28, 1, 8264
10000, 8, 4, 28, 2, 8648
10000, 8, 4, 28, 3, 8791
10000, 8, 4, 28, 4, 8895
10000, 8, 4, 28, 5, 8951
10000, 8, 4, 28, 6, 9018
10000, 8, 4, 28, 7, 9066
10000, 8, 4, 28, 8, 9058
10000, 8, 4, 28, 9, 9101
10000, 8, 4, 28, 10, 9080
10000, 16, 4, 28, 1, 8260
10000, 16, 4, 28, 2, 8650
10000, 16, 4, 28, 3, 8781
10000, 16, 4, 28, 4, 8898
10000, 16, 4, 28, 5, 8924
10000, 16, 4, 28, 6, 9016
10000, 16, 4, 28, 7, 9041
10000, 16, 4, 28, 8, 9099
10000, 16, 4, 28, 9, 9092
10000, 16, 4, 28, 10, 9146
10000, 32, 4, 28, 1, 8292
10000, 32, 4, 28, 2, 8670
10000, 32, 4, 28, 3, 8793
10000, 32, 4, 28, 4, 8904
10000, 32, 4, 28, 5, 8979
10000, 32, 4, 28, 6, 9028
10000, 32, 4, 28, 7, 9059
10000, 32, 4, 28, 8, 9104
10000, 32, 4, 28, 9, 9129
10000, 32, 4, 28, 10, 9165
10000, 64, 4, 28, 1, 8265
10000, 64, 4, 28, 2, 8681
10000, 64, 4, 28, 3, 8786
10000, 64, 4, 28, 4, 8912
10000, 64, 4, 28, 5, 8972
10000, 64, 4, 28, 6, 9027
10000, 64, 4, 28, 7, 9074
10000, 64, 4, 28, 8, 9108
10000, 64, 4, 28, 9, 9141
10000, 64, 4, 28, 10, 9171
10000, 2, 8, 28, 1, 8124
10000, 2, 8, 28, 2, 8492
10000, 2, 8, 28, 3, 8627
10000, 2, 8, 28, 4, 8700
10000, 2, 8, 28, 5, 8767
10000, 2, 8, 28, 6, 8795
10000, 2, 8, 28, 7, 8811
10000, 2, 8, 28, 8, 8758
10000, 2, 8, 28, 9, 8712
10000, 2, 8, 28, 10, 8430
10000, 4, 8, 28, 1, 8251
10000, 4, 8, 28, 2, 8628
10000, 4, 8, 28, 3, 8737
10000, 4, 8, 28, 4, 8838
10000, 4, 8, 28, 5, 8922
10000, 4, 8, 28, 6, 8961
10000, 4, 8, 28, 7, 9024
10000, 4, 8, 28, 8, 9037
10000, 4, 8, 28, 9, 9062
10000, 4, 8, 28, 10, 9071
10000, 8, 8, 28, 1, 8284
10000, 8, 8, 28, 2, 8681
10000, 8, 8, 28, 3, 8798
10000, 8, 8, 28, 4, 8918
10000, 8, 8, 28, 5, 8959
10000, 8, 8, 28, 6, 9007
10000, 8, 8, 28, 7, 9078
10000, 8, 8, 28, 8, 9096
10000, 8, 8, 28, 9, 9137
10000, 8, 8, 28, 10, 9142
10000, 16, 8, 28, 1, 8314
10000, 16, 8, 28, 2, 8699
10000, 16, 8, 28, 3, 8841
10000, 16, 8, 28, 4, 8927
10000, 16, 8, 28, 5, 8984
10000, 16, 8, 28, 6, 9039
10000, 16, 8, 28, 7, 9097
10000, 16, 8, 28, 8, 9106
10000, 16, 8, 28, 9, 9158
10000, 16, 8, 28, 10, 9157
10000, 32, 8, 28, 1, 8289
10000, 32, 8, 28, 2, 8678
10000, 32, 8, 28, 3, 8829
10000, 32, 8, 28, 4, 8921
10000, 32, 8, 28, 5, 8973
10000, 32, 8, 28, 6, 9035
10000, 32, 8, 28, 7, 9063
10000, 32, 8, 28, 8, 9116
10000, 32, 8, 28, 9, 9135
10000, 32, 8, 28, 10, 9182
10000, 64, 8, 28, 1, 8276
10000, 64, 8, 28, 2, 8683
10000, 64, 8, 28, 3, 8827
10000, 64, 8, 28, 4, 8938
10000, 64, 8, 28, 5, 8996
10000, 64, 8, 28, 6, 9048
10000, 64, 8, 28, 7, 9091
10000, 64, 8, 28, 8, 9121
10000, 64, 8, 28, 9, 9141
10000, 64, 8, 28, 10, 9179
